epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,14.6907,1.23015,1.2799,0.99668,0.05667,0.83607,0.24934,0.13391,1.43647,2.60097,1.18904,0.000404768,0.000404768,0.000404768
30,15.1252,1.14269,1.20792,0.99124,0.05667,0.83607,0.24934,0.13391,1.43647,2.60097,1.18904,0.000413482,0.000413482,0.000413482
31,15.5443,1.19507,1.27091,0.99155,0.05556,0.81967,0.25042,0.13698,1.39045,2.53939,1.16425,0.0004218,0.0004218,0.0004218
32,15.9666,1.30599,1.34908,1.00973,0.05556,0.81967,0.25042,0.13698,1.39045,2.53939,1.16425,0.000429722,0.000429722,0.000429722
33,16.405,1.2291,1.18271,0.97253,0.07007,0.77049,0.27121,0.1422,1.38479,2.52732,1.17438,0.000437248,0.000437248,0.000437248
34,16.8172,1.11889,1.24297,1.01405,0.07007,0.77049,0.27121,0.1422,1.38479,2.52732,1.17438,0.000444378,0.000444378,0.000444378
35,17.2382,1.24316,1.20602,0.98564,0.05667,0.83607,0.30918,0.15293,1.41666,2.4999,1.18516,0.000451112,0.000451112,0.000451112
36,17.6764,1.03239,1.14292,0.94149,0.05667,0.83607,0.30918,0.15293,1.41666,2.4999,1.18516,0.00045745,0.00045745,0.00045745
37,18.1114,1.06021,1.04828,0.93678,0.07275,0.7377,0.33714,0.15981,1.46862,2.47667,1.22926,0.000463392,0.000463392,0.000463392
38,18.5666,1.17724,1.25473,0.97447,0.07275,0.7377,0.33714,0.15981,1.46862,2.47667,1.22926,0.000468938,0.000468938,0.000468938
39,19.0419,1.15419,1.12581,0.97594,0.35733,0.39344,0.34731,0.15871,1.46518,2.43576,1.2513,0.000474088,0.000474088,0.000474088
40,19.4769,1.13885,1.14256,0.96048,0.35733,0.39344,0.34731,0.15871,1.46518,2.43576,1.2513,0.000478842,0.000478842,0.000478842
41,19.9101,1.11597,1.13113,0.9734,0.44611,0.40984,0.36087,0.16065,1.44844,2.40763,1.23896,0.0004832,0.0004832,0.0004832
42,20.3489,1.16675,1.08774,0.96038,0.44611,0.40984,0.36087,0.16065,1.44844,2.40763,1.23896,0.000487162,0.000487162,0.000487162
43,20.7899,1.10527,1.0636,0.95169,0.41996,0.29508,0.32946,0.14267,1.45972,2.40919,1.26629,0.000490728,0.000490728,0.000490728
44,21.2078,1.17937,1.10904,0.9623,0.41996,0.29508,0.32946,0.14267,1.45972,2.40919,1.26629,0.000493898,0.000493898,0.000493898
45,21.6561,0.99147,1.04858,0.96253,0.43161,0.29508,0.29437,0.12784,1.49366,2.38867,1.29088,0.000496672,0.000496672,0.000496672
46,22.0708,1.079,1.06482,0.94391,0.43161,0.29508,0.29437,0.12784,1.49366,2.38867,1.29088,0.00049905,0.00049905,0.00049905
47,22.4998,1.08074,1.03285,0.96826,0.3534,0.25095,0.23882,0.10168,1.56372,2.38547,1.30556,0.000501032,0.000501032,0.000501032
48,22.946,1.11396,1.07588,0.92859,0.3534,0.25095,0.23882,0.10168,1.56372,2.38547,1.30556,0.000502618,0.000502618,0.000502618
49,23.3904,1.18072,1.14098,0.97218,0.29583,0.2623,0.23828,0.10769,1.559,2.40303,1.28405,0.000503808,0.000503808,0.000503808
50,23.817,0.96907,0.97248,0.93674,0.29583,0.2623,0.23828,0.10769,1.559,2.40303,1.28405,0.000504602,0.000504602,0.000504602
51,24.2453,1.10622,1.08474,0.94821,0.40425,0.21311,0.26832,0.11345,1.51364,2.39844,1.24532,0.000505,0.000505,0.000505
52,24.6671,1.04343,1.02509,0.94079,0.40425,0.21311,0.26832,0.11345,1.51364,2.39844,1.24532,0.000505002,0.000505002,0.000505002
53,25.0867,0.96023,0.97902,0.92293,0.40425,0.21311,0.26832,0.11345,1.51364,2.39844,1.24532,0.000504608,0.000504608,0.000504608
54,25.5239,1.08402,0.96697,0.95075,0.43678,0.22951,0.28556,0.12535,1.52274,2.42293,1.23895,0.000503818,0.000503818,0.000503818
55,25.9509,1.09487,0.96139,0.94137,0.43678,0.22951,0.28556,0.12535,1.52274,2.42293,1.23895,0.000502632,0.000502632,0.000502632
56,26.4084,1.09731,0.95759,0.91594,0.43678,0.22951,0.28556,0.12535,1.52274,2.42293,1.23895,0.00050105,0.00050105,0.00050105
57,26.8653,1.03613,0.96954,0.96598,0.55915,0.2459,0.33949,0.15255,1.57079,2.40113,1.25237,0.000499072,0.000499072,0.000499072
58,27.292,0.991,0.95473,0.92254,0.55915,0.2459,0.33949,0.15255,1.57079,2.40113,1.25237,0.000496698,0.000496698,0.000496698
59,27.6842,0.94476,0.992,0.95937,0.55915,0.2459,0.33949,0.15255,1.57079,2.40113,1.25237,0.000493928,0.000493928,0.000493928
60,28.134,1.07084,1.02822,0.95047,0.703,0.2459,0.40734,0.18325,1.54275,2.34781,1.22725,0.000490762,0.000490762,0.000490762
61,28.5593,0.96119,0.91974,0.92379,0.703,0.2459,0.40734,0.18325,1.54275,2.34781,1.22725,0.0004872,0.0004872,0.0004872
62,28.9986,1.04744,0.95598,0.95701,0.703,0.2459,0.40734,0.18325,1.54275,2.34781,1.22725,0.000483242,0.000483242,0.000483242
63,29.4574,0.98104,0.90798,0.91086,0.71517,0.2459,0.41774,0.20942,1.54284,2.31136,1.22268,0.000478888,0.000478888,0.000478888
64,29.9122,0.97212,0.91294,0.92859,0.71517,0.2459,0.41774,0.20942,1.54284,2.31136,1.22268,0.000474138,0.000474138,0.000474138
65,30.3777,0.91609,0.91588,0.91164,0.71517,0.2459,0.41774,0.20942,1.54284,2.31136,1.22268,0.000468992,0.000468992,0.000468992
66,30.8891,0.94402,1.03171,0.94662,0.85083,0.28059,0.44022,0.2243,1.54579,2.30539,1.22417,0.00046345,0.00046345,0.00046345
67,31.3577,0.80321,0.82086,0.87313,0.85083,0.28059,0.44022,0.2243,1.54579,2.30539,1.22417,0.000457512,0.000457512,0.000457512
68,31.8701,0.96778,0.92938,0.92182,0.85083,0.28059,0.44022,0.2243,1.54579,2.30539,1.22417,0.000451178,0.000451178,0.000451178
69,32.3876,1.0649,0.9107,0.91512,0.84356,0.26532,0.47762,0.22263,1.52374,2.31087,1.21527,0.000444448,0.000444448,0.000444448
70,32.8734,0.93219,0.8927,0.90914,0.84356,0.26532,0.47762,0.22263,1.52374,2.31087,1.21527,0.000437322,0.000437322,0.000437322
71,33.3279,0.91894,0.84935,0.92081,0.84356,0.26532,0.47762,0.22263,1.52374,2.31087,1.21527,0.0004298,0.0004298,0.0004298
72,33.8468,1.11662,0.94219,0.91483,0.75821,0.25721,0.45592,0.21715,1.49665,2.33042,1.205,0.000421882,0.000421882,0.000421882
73,34.268,0.94249,0.86591,0.88771,0.75821,0.25721,0.45592,0.21715,1.49665,2.33042,1.205,0.000413568,0.000413568,0.000413568
74,34.7423,0.9571,0.85065,0.9059,0.75821,0.25721,0.45592,0.21715,1.49665,2.33042,1.205,0.000404858,0.000404858,0.000404858
75,35.1931,1.01831,0.95398,0.90428,0.72548,0.27869,0.46812,0.21941,1.46915,2.28985,1.18391,0.000395752,0.000395752,0.000395752
76,35.6137,0.93286,0.82896,0.90241,0.72548,0.27869,0.46812,0.21941,1.46915,2.28985,1.18391,0.00038625,0.00038625,0.00038625
77,36.0529,0.89032,0.85696,0.89435,0.72548,0.27869,0.46812,0.21941,1.46915,2.28985,1.18391,0.000376352,0.000376352,0.000376352
78,36.5178,0.90848,0.84653,0.89392,0.68429,0.31148,0.48501,0.23648,1.4482,2.26042,1.16925,0.000366058,0.000366058,0.000366058
79,36.9855,1.03448,0.86414,0.91312,0.68429,0.31148,0.48501,0.23648,1.4482,2.26042,1.16925,0.000355368,0.000355368,0.000355368
80,37.4823,0.90223,0.85345,0.91904,0.68429,0.31148,0.48501,0.23648,1.4482,2.26042,1.16925,0.000344282,0.000344282,0.000344282
81,37.9936,0.95792,0.865,0.90324,0.67693,0.42623,0.49887,0.23923,1.46953,2.20568,1.17589,0.0003328,0.0003328,0.0003328
82,38.4684,0.95045,0.82697,0.9123,0.67693,0.42623,0.49887,0.23923,1.46953,2.20568,1.17589,0.000320922,0.000320922,0.000320922
83,38.9243,1.06035,0.9071,0.8943,0.67693,0.42623,0.49887,0.23923,1.46953,2.20568,1.17589,0.000308648,0.000308648,0.000308648
84,39.4354,0.92498,0.89197,0.91114,0.61368,0.41677,0.47037,0.22729,1.50022,2.15071,1.18616,0.000295978,0.000295978,0.000295978
85,39.8778,0.90988,0.80683,0.89087,0.61368,0.41677,0.47037,0.22729,1.50022,2.15071,1.18616,0.000282912,0.000282912,0.000282912
86,40.3049,0.85676,0.80398,0.85957,0.61368,0.41677,0.47037,0.22729,1.50022,2.15071,1.18616,0.00026945,0.00026945,0.00026945
87,40.7323,0.92431,0.82966,0.90462,0.61368,0.41677,0.47037,0.22729,1.50022,2.15071,1.18616,0.000255592,0.000255592,0.000255592
88,41.1624,0.85319,0.83371,0.89059,0.60601,0.47916,0.49776,0.24084,1.51529,2.07252,1.18468,0.000241338,0.000241338,0.000241338
89,41.6441,0.95712,0.82117,0.87376,0.60601,0.47916,0.49776,0.24084,1.51529,2.07252,1.18468,0.000226688,0.000226688,0.000226688
90,42.1255,0.90467,0.80341,0.9034,0.60601,0.47916,0.49776,0.24084,1.51529,2.07252,1.18468,0.000211642,0.000211642,0.000211642
91,43.666,0.97947,1.1768,0.88582,0.60601,0.47916,0.49776,0.24084,1.51529,2.07252,1.18468,0.0001962,0.0001962,0.0001962
92,44.493,0.91253,1.02387,0.89948,0.53624,0.49287,0.48653,0.24679,1.52508,1.97702,1.17434,0.000180362,0.000180362,0.000180362
93,45.0194,0.89249,1.12235,0.89943,0.53624,0.49287,0.48653,0.24679,1.52508,1.97702,1.17434,0.000164128,0.000164128,0.000164128
94,45.5203,0.83194,0.97757,0.87518,0.53624,0.49287,0.48653,0.24679,1.52508,1.97702,1.17434,0.000147498,0.000147498,0.000147498
95,46.0149,0.90856,1.11081,0.89475,0.53624,0.49287,0.48653,0.24679,1.52508,1.97702,1.17434,0.000130472,0.000130472,0.000130472
96,46.5359,0.93663,1.12629,0.88212,0.57024,0.54098,0.51902,0.26321,1.53172,1.88209,1.17256,0.00011305,0.00011305,0.00011305
97,47.0169,0.86557,1.03985,0.89815,0.57024,0.54098,0.51902,0.26321,1.53172,1.88209,1.17256,9.5232e-05,9.5232e-05,9.5232e-05
98,47.5194,0.82557,1.07248,0.87591,0.57024,0.54098,0.51902,0.26321,1.53172,1.88209,1.17256,7.7018e-05,7.7018e-05,7.7018e-05
99,47.9905,0.86505,1.09142,0.9086,0.57024,0.54098,0.51902,0.26321,1.53172,1.88209,1.17256,5.8408e-05,5.8408e-05,5.8408e-05
100,48.4933,0.81235,1.04588,0.88917,0.59154,0.55738,0.53611,0.27274,1.52128,1.79263,1.15909,3.9402e-05,3.9402e-05,3.9402e-05
