epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,46.5094,0.70427,0.48419,0.8369,0.62515,0.7541,0.53886,0.36403,1.10423,1.15751,1.16752,0.000487162,0.000487162,0.000487162
43,47.5854,0.71429,0.4824,0.85223,0.59071,0.7541,0.54311,0.36323,1.13485,1.16052,1.17714,0.000490728,0.000490728,0.000490728
44,48.6661,0.76016,0.50977,0.8605,0.59071,0.7541,0.54311,0.36323,1.13485,1.16052,1.17714,0.000493898,0.000493898,0.000493898
45,49.7479,0.60887,0.46399,0.86258,0.57422,0.70751,0.54322,0.36037,1.15055,1.1643,1.16349,0.000496672,0.000496672,0.000496672
46,50.8291,0.73784,0.478,0.8377,0.57422,0.70751,0.54322,0.36037,1.15055,1.1643,1.16349,0.00049905,0.00049905,0.00049905
47,51.9178,0.6789,0.4745,0.85656,0.56595,0.72681,0.56647,0.36978,1.14518,1.17617,1.14873,0.000501032,0.000501032,0.000501032
48,53.006,0.70372,0.46881,0.83644,0.56595,0.72681,0.56647,0.36978,1.14518,1.17617,1.14873,0.000502618,0.000502618,0.000502618
49,54.0981,0.78883,0.5442,0.89382,0.54185,0.73678,0.58853,0.38142,1.20081,1.19067,1.16802,0.000503808,0.000503808,0.000503808
50,55.165,0.59142,0.44969,0.83688,0.54185,0.73678,0.58853,0.38142,1.20081,1.19067,1.16802,0.000504602,0.000504602,0.000504602
51,56.287,0.7132,0.49187,0.84919,0.58107,0.7504,0.61729,0.37233,1.29397,1.17936,1.2625,0.000505,0.000505,0.000505
52,57.3193,0.64895,0.42917,0.85048,0.58107,0.7504,0.61729,0.37233,1.29397,1.17936,1.2625,0.000505002,0.000505002,0.000505002
53,58.3404,0.6303,0.42946,0.82181,0.58107,0.7504,0.61729,0.37233,1.29397,1.17936,1.2625,0.000504608,0.000504608,0.000504608
54,59.4087,0.70993,0.44914,0.86239,0.65011,0.67014,0.62204,0.38667,1.29993,1.17849,1.30095,0.000503818,0.000503818,0.000503818
55,60.4752,0.67236,0.45738,0.84496,0.65011,0.67014,0.62204,0.38667,1.29993,1.17849,1.30095,0.000502632,0.000502632,0.000502632
56,61.5433,0.70148,0.46678,0.83245,0.65011,0.67014,0.62204,0.38667,1.29993,1.17849,1.30095,0.00050105,0.00050105,0.00050105
57,62.5989,0.6095,0.4615,0.85446,0.68545,0.65574,0.61767,0.38925,1.22271,1.1365,1.23939,0.000499072,0.000499072,0.000499072
58,63.6556,0.63485,0.47168,0.83201,0.68545,0.65574,0.61767,0.38925,1.22271,1.1365,1.23939,0.000496698,0.000496698,0.000496698
59,64.7067,0.59304,0.44127,0.87104,0.68545,0.65574,0.61767,0.38925,1.22271,1.1365,1.23939,0.000493928,0.000493928,0.000493928
